Advertisements 	date.2,Street,R.,m²,Floor,Series,"Price, m2",Price
Tiek pārdots pilnībā mēbelēts un dzīvošanai aprīkots 4 istabu dz,Birznieka-Upisha 1..,4,112,5/7,New,"2,750 €","308,000 €"
"Piedāvājam iegādāties plašu un mājīgu 5 istabu dzīvokli (150, 9",Valdemara 39,5,150,3/6,Recon.,"1,667 €","250,000 €"
Labdien. Pardodam ļoti labi novietotu dzīvokli pieprasītā Veseta,Vesetas 10,4,103,1/8,Spec. pr.,"1,932 €","199,000 €"
Tiek piedāvāts kapitāli izremontētais dzīvoklis Rīgas klusajā ce,Artilerijas 44,3,95,2/4,Pre-war house,"2,100 €","199,500 €"
"Pārdod 3 istabu dzīvokli Klusajā centrā, Eksporta ielā 12. Ēka r",Eksporta 12,3,79,1/6,Recon.,"1,759 €","139,000 €"
Pārdošanā elegants divu līmeņu dzīvoklis klusajā centrā – presti,Dzirnavu 34,6,155,4/5,Recon.,"1,916 €","297,000 €"
"Pārdod 3 istabu dzīvokli Rīgas centrā, Tērbatas ielā 20. Dzīvokl",Terbatas 20,3,68,3/6,Recon.,"3,653 €","248,400 €"
"Pārdod 2 istabu dzīvokli Rīgas centrā, Tērbatas ielā 20. Dzīvokl",Terbatas 20,2,48,3/6,Recon.,"3,323 €","159,500 €"
Piemērots izīrēšanai vai pašiem dzīvošanai. Dzīvoklis Nr. 55,Chaka 133,1,32,4/6,Pre-war house,"1,469 €","46,998 €"
"Siltas, sausas, saulainas augsta puspagraba telpas kuras var izm",Chaka 133,4,125,1/6,Pre-war house,540 €,"67,541 €"
"Pārdodam dzīvokli skaistā lokācijā Rīgas centrā, ar skatu uz Par",Raina boul. 17,5,189,5/5,Recon.,"1,746 €","330,000 €"
Продаётся светлая и уютная квартира со свежим ремонтом Кварт,Chaka 121,1,40,2/6,Pre-war house,"1,900 €","76,000 €"
"Pilsētas centrā tiek pārdots mājīgs, saulains un labi uzturēts t",Gertrudes 84,3,81,2/6,Pre-war house,"1,852 €","149,999 €"
Pārdod 3 istabu dzīvokli pašā Rīgas centrā. Dzīvoklis pārdodas k,Brivibas 60,3,55,4/4,Pre-war house,"2,273 €","125,000 €"
Īpašnieks pārdod 4 istabu dzīvokli Rīgas centrā. Zeme īpašumā. D,Stabu 84,4,95,3/4,Pre-war house,"1,126 €","107,000 €"
Pārdošanā elegants un pilnībā mēbelēts 3 istabu dzīvoklis Rūpnie,Rupniecibas 44,3,140,4/6,New,"2,607 €","365,000 €"
Pārdodu stilīgu premium klases divistabu dzīvokli pašā Rīgas cen,Artilerijas 19,2,42,2/5,Pre-war house,"3,095 €","130,000 €"
"Ēka celta 1911. gadā no silikātķieģeļiem, saglabājot pirmskara a",Matisa 119,3,84,4/5,Pre-war house,"1,356 €","113,940 €"
Tiek pārdots plašs un elegants piecu istabu dzīvoklis Rīgas cent,Barona 92,5,139,2/6,Pre-war house,"2,496 €","347,000 €"
Šarmants 2-istabu dzīvoklis vēsturiskā pirmskara mūra ēkā Piedā,Barona 80,2,45,4/5,Pre-war house,"2,178 €","98,000 €"
"Skanstes rajonā tiek pārdots mājīgs, silts, gaišs un nav stūra t",Zirnu 5 k. 2,3,60,4/9,467-th,"1,700 €","102,000 €"
Brīvības ielā 190 jaunu dzīvi sāk 1912. gadā pēc arhitekta Nikol,Brivibas 190,3,48,2/6,Recon.,"2,281 €","109,480 €"
Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49 Mūsdienīga,Hospitalu 49,2,45,2/8,New,"3,182 €","143,200 €"
Pārdod plašu un ekskluzīvu četristabu dzīvokli Rīgas centrā – Pē,Pernavas 41,4,105,6/6,Recon.,"2,642 €","277,440 €"
Īpašnieks pārdod dzīvokli ar 4 metrus augstiem griestiem jaunajā,Brivibas 201,2,57,3/5,New,"1,991 €","113,500 €"
Īpašnieks pārdod dzīvokli ar panorāmas logiem jaunajā projektā –,Brivibas 201,1,37,4/5,New,"2,068 €","76,500 €"
Projekta attīstītājs piedāvā iegādāties dzīvokli ar 4 metrus aug,Brivibas 201,2,38,2/5,New,"2,092 €","79,500 €"
Īpašnieks pārdod dzīvokli ar 4 metrus augstiem griestiem jaunajā,Brivibas 201,2,56,3/5,New,"2,009 €","112,500 €"
Īpašnieks pārdod dzīvokli ar balkonu un 3 metrus augstiem griest,Brivibas 201,3,76,4/5,New,"2,164 €","164,500 €"
Īpašnieks pārdod dzīvokli ar 4 metrus augstiem griestiem jaunajā,Brivibas 201,3,84,2/5,New,"1,808 €","151,900 €"
Īpašnieks pārdod Fantastisku un izlolotu dzīvokli Rīgas centrā.,Brivibas 95,2,64,7/7,Pre-war house,"3,094 €","198,000 €"
"Dzīvoklis ar stavvietu atrodas skaistā vēsturiskā ēkā, kas izvie",Avotu 8 k-1,2,61,2/6,Pre-war house,"1,869 €","114,000 €"
"Pārdod labiekārtotas ofisa telpas 61 m2 platībā, tika pārbūvētas",Tomsona 39,2,61,2/10,New,"1,803 €","110,000 €"
Pārdod 2 istabu dzīvokli Rīgas centrā. Dzīvoklim nepieciešams,Matisa 84,2,25,1/2,Pre-war house,756 €,"18,900 €"
Rīgas centrā tiek pārdots 2-istabu saulains un elegants dzīvokli,Brivibas 68,2,49,2/6,Recon.,"3,471 €","170,100 €"
Pārdod divu guļamistabu dzīvokli Rīgas Sirdī Šis gaišais un p,Blaumana 25,2,47,3/5,Pre-war house,"2,723 €","128,000 €"
Pārdodam kompaktu un funkcionālu 1 istabas dzīvokli. Dzīvoklis t,Bruninieku 121B,1,29,1/6,Recon.,"2,241 €","65,000 €"
Pārdodam gaišu 2 istabu dzīvokli ar patīkamu mājīgumasajūtu Kriš,Barona 96/98,2,52,4/5,Stalin project,"2,154 €","112,000 €"
Īpašnieks pārdod 3 istabu dzīvokli 112 m² Rīgas klusajā centrā,Republikas pl. 3,3,112,3/7,New,"2,188 €","245,000 €"
Iekšpagalma dzīvoklis Rīgas centrā ar ērtu infrastruktūru blakus,Valdemara 57/59,2,73,5/6,Pre-war house,"1,705 €","124,500 €"
Mājīgs trīsistabu dzīvoklis Rīgas centrā. Atrodas pie Gaisa tilt,Brivibas 177,3,67,3/6,Spec. pr.,"1,761 €","118,000 €"
"Silts un mājīgs 3 istabu dzīvoklis, 74 m2, augstais beletāžas 1.",Stabu 46/48,3,74,1/5,Recon.,"1,554 €","115,000 €"
Studio tipa dzīvoklis ar autostāvvietu Klusajā centrā. Pārdo,Strelnieku 15,1,30,2/3,Recon.,"2,666 €","79,990 €"
"Piedāvājumā stilīgs un mājīgs 1-istabas dzīvoklis Rīgas centrā,",Klusa 16,1,26,1/4,Recon.,"2,769 €","72,000 €"
Pārdodu lielisku trīsistabu dzīvokli pirmskara laika ķieģeļu māj,Ganibu d. 3,3,93,2/4,Pre-war house,"1,882 €","175,000 €"
"Pārdodu saulainu un siltu 2 istabu dzīvokli centrā, Eksporta iel",Eksporta 14,2,55,5/5,Stalin project,"1,909 €","105,000 €"
"Nestandarta planojums. Augsts pirmais stāvs - 1, 75 m. līdz palo",Valdemara 143,3,60,1/6,Chrusch.,"1,167 €","70,000 €"
"Pārdod jaunu, modernu un pilnībā aprīkotu 3 istabu dzīvokli jaun",Dainas 10A,3,65,3/6,New,"3,154 €","205,000 €"
Gaišs un mājīgs 2 istabu dzīvoklis pagalmā ēkā lieliska izvēle t,Brivibas 159,2,46,2/5,Pre-war house,"1,957 €","90,000 €"
Красивая 2к квартира. Без посредников пожалуйста. Стратегически,Dzirnavu 3А,3,53,1/5,Pre-war house,"2,545 €","134,900 €"
Lat/ang/rus/ Lieliska investīciju iespēja: kompakti divistabu dz,Chaka 26a,2,42,1/5,Recon.,"2,543 €","106,800 €"
"Pārdod 3-istabu dzīvoklis ar panorāmas logiem, projektā ""Duntes",Duntes 28,3,71,4/16,New,"2,239 €","159,000 €"
"Pārdod gaišu un plašu 3 istabu dzīvokli Pētersalā, klusā un ļoti",Lugazhu 4,3,63,5/5,Lit pr.,"1,143 €","72,000 €"
Pārdošanā – Ienesošs Investīciju Dzīvoklis Rīgas Centrā (K. Baro,Barona 24/26,1,27,5/6,Recon.,"3,911 €","105,600 €"
Pārdod kvalitatīvu un komfortablu 3 istabu dzīvokli Rīgas centrā,Marijas 16,3,65,4/7,Recon.,"2,138 €","139,000 €"
Investīciju piedāvājums: divistabu dzīvoklis pašā Rīgas centrā.,Chaka 26,2,37,1/7,Recon.,"3,155 €","116,750 €"
Investīciju piedāvājums: divistabu dzīvoklis pašā Rīgas centrā.,Chaka 26,2,43,1/7,Recon.,"3,115 €","133,945 €"
"Продается уникальная квартира-студия площадью 15, 1 м2, располож",Elizabetes 12,1,15,1/5,Recon.,"4,993 €","74,900 €"
A unique investment opportunity: a compact -room apartment in th,Chaka 26а,1,25,1/5,Recon.,"2,572 €","64,300 €"
Pārdošanā kvalitatīvs 2 istabu dzīvoklis renovētā iekšpagalma mā,Chaka 113a,2,46,1/6,Recon.,"2,511 €","115,500 €"
Reta iespēja - ideāls plānojums Rare offer - ideal layout Редк,Raina boul. 2,4,149,3/6,Recon.,"2,208 €","329,000 €"
Pārdod pilnībā renovētu 2 istabu dzīvokli Rīgas centrā - Katrīna,Katrinas d. 14,2,77,3/4,New,"2,532 €","195,000 €"
"Pārdodam plašu 6 istabu dzīvokli izskatīgā Jūgendstila namā, lie",Gertrudes 30,6,142,4/5,Pre-war house,"1,570 €","223,000 €"
"Pārdodu jauku divistabu dzīvokli Rīgas centrā , netālu no stacij",Raina boul. 31,2,37,5/6,Pre-war house,"2,405 €","89,000 €"
"Quiet center, new, design masterpiece, sunny, top quality apartm",Eksporta 4,6,205,2/6,Recon.,"3,366 €","690,000 €"
Gaišs un plašs 3 istabu dzīvoklis (53 m²) Rīgas centrā lieliska,Dzirnavu 132,3,53,2/5,Pre-war house,"1,623 €","86,000 €"
"Продаётся просторная изящная квартира в историческом центре, в д",Pumpura 5,5,330,2/5,Recon.,"3,636 €","1,200,000 €"
"Продается просторная и светлая 5-комнатная двухэтажная квартира,",Zaubes 9А,5,191,6/6,New,"3,084 €","589,000 €"
Pārdod plašu 3 istabu dzīvokli renovētā pirmskara ēkā Rīgas cent,Terbatas 38,3,82,4/7,Recon.,"2,439 €","200,000 €"
Piedāvājam iegādāties plašu un izsmalcinātu 3 istabu dzīvokli El,Elizabetes 18,3,102,3/6,Recon.,"5,490 €","560,000 €"
Īpašnieks pārdod 3-istabu dzīvokli Matīsa ielā lieliskā lokācijā,Matisa 20,3,60,3/3,Pre-war house,767 €,"46,000 €"
"Plašs un kluss dzīvoklis Rīgas centrā, kvalitatīvā pirmskara māj",Brivibas 72,5,131,2/6,Pre-war house,"1,525 €","199,800 €"
"Kombo - - Dzīvokļa īpašums, - Domājamā daļa no zemes, - I",Dzirnavu 72,4,87,3/5,Pre-war house,"1,667 €","145,000 €"
"Pārdodu 93 m² plašu puspagraba telpu īpašumu, kas pielāgots dzīv",Matisa 31,Other,94,1/4,Pre-war house,298 €,"28,000 €"
109 m² plašas pagraba telpas fantastiskā lokācijā ar lielisku in,Terbatas 39,6,110,1/5,Pre-war house,250 €,"27,500 €"
"Pārdodu pagraba telpu īpašumu, kas pielāgots dzīvošanai un izvei",Blaumana 16/18,1,34,1/5,Recon.,556 €,"18,900 €"
Pārdošanā gaišs un mājīgs 2 istabu dzīvoklis Rīgas centrā. Ķ,Chaka 148,2,53,5/5,Pre-war house,"1,585 €","84,000 €"
Pārdod 2-istabu dzīvokli Rīgas centrā – laba izvēle gan dzīvošan,Stabu 15,2,50,2/6,Stalin project,"2,300 €","115,000 €"
"Labā stāvoklī, gatavs dzīvošanai saulains, gaišs dzīvoklis lieli",Zvaigzhnu 26,2,46,2/7,Spec. pr.,"1,628 €","74,900 €"
"Rīgas centra jaunajā projektā “Tērbatas dārzs”, kas atrodas Tērb",Terbatas 78A,3,67,2/7,New,"3,134 €","210,000 €"
"Pārdodu jauku, radošumu rosinošu dzīvokli centrā, Timoteja iela",Timoteja 1,2,60,4/4,Pre-war house,"1,583 €","95,000 €"
"Pārdod svaigi remontētu, ekonomisku dzīvokli ar visām mēbelēm un",Ganibu d. 13/1,2,31,3/8,New,"1,871 €","58,000 €"
Plašs divistabu dzīvoklis renovētas ēkas 3.stāvā. Izcila lokācij,Chaka 38A,2,43,3/6,Recon.,"2,060 €","88,600 €"
Pārdodu plašu trīsistabas dzīvokli pašā Vecrīgas sirdī. Atroda,Kaleju 74,3,102,3/4,New,"2,304 €","235,000 €"
Plašs divistabu dzīvoklis renovētā mājā ar individuālu gāzes apk,Gertrudes 77,2,70,2/5,Pre-war house,"2,136 €","149,500 €"
Pārdod elegantu 4 istabu dzīvokli prestižā Rīgas rajonā Baznīcas,Baznicas 27/29,4,144,4/6,Recon.,"2,424 €","349,000 €"
Pārdodu 2- istabu dzīvokli klusajā centrā. Dzīvoklis atrodas māj,Katrinas d. 22c,2,43,2/3,Chrusch.,977 €,"42,000 €"
Pārdošanā ir kompakts vienas istabas dzīvoklis un lielisks inves,Lejas 7,1,16,2/2,Pre-war house,"1,188 €","19,000 €"
Pārdošanā 2 istabu dzīvoklis pirmskara laika ēkā Rīgas Centrā.,Zvaigzhnu 13c,2,46,1/5,Pre-war house,"1,152 €","53,000 €"
"Tiek pārdots izremontēts dzīvoklis pašā Rīgas centrā, klusā paga",Marijas 20,3,78,1/4,Recon.,"2,269 €","177,000 €"
Продаётся 2-х комнатная квартира в отличном проекте Skanstes Vir,Skanstes 29a,2,67,11/24,New,"2,657 €","178,000 €"
Vēsturiski telpas izmantotas kā birojs vairākiem apdrošināšanas,Hospitalu 8,5,129,1/6,New,"1,240 €","160,000 €"
Penthauzs ar kamīnu pilsētas centrā Stabu 92 Dzīvoklis: - Pl,Stabu 92,2,93,5/5,Recon.,"2,097 €","195,000 €"
"Pārdod 2 istabu dzīvokli Rīgas centrā, Katrīnas dambī 14 Piln",Katrinas d. 14,2,52,2/4,New,"2,600 €","135,200 €"
Pārdošanā tiek piedāvāts izsmalcināts un plašs 6-istabu dzīvokli,Vilandes 6,6,204,4/4,Recon.,"2,426 €","495,000 €"
Patiesi autentisks dzīvoklis prestižajā Baznīcas ielā 37 Pati,Baznicas 37,4,144,3/5,Pre-war house,"3,021 €","435,000 €"
Pārdod mājīgu divistabu dzīvokli Rīgas centrā – Timoteja ielā 1A,Timoteja 1A,2,52,2/4,Pre-war house,"1,601 €","83,230 €"
"Dzīvoklis ar autosstāvvietu pagalmā, pašā Rīgas centrā. Lielis",Birznieka-Upisha 1..,1,25,2/2,Pre-war house,"1,540 €","38,500 €"
"Pārdod plašu 3 istabu dzīvokli Rīgas centrā, Skolas ielā 25.",Skolas 25,3,72,3/5,Pre-war house,"2,083 €","150,000 €"
"Pārdod mājīgu trīsistabu dzīvokli Rīgā – Matīsa ielā 59, Centrā.",Matisa 59,3,57,3/5,Pre-war house,"1,968 €","112,200 €"
Dzīvokļa plānojums: 2 izolētas istabas Plaša viesistaba apvien,Brivibas 72,3,82,5/5,Pre-war house,"2,354 €","193,000 €"
Gaišs un gatavs dzīvošanai jūsu jaunais dzīvoklis Grīziņkalnā.,Valmieras 28,3,70,2/5,Recon.,"2,500 €","175,000 €"
Patīkams mini dzīvoklis ar stāvvietu slēgtā pagalmā. Ēka atrodas,Matisa 58,1,22,2/2,Pre-war house,"1,341 €","29,500 €"
"Iegādei piedāvājam mēbelētu, ar sadzīves tehniku aprīkotu divist",Pulkv. Briezha 10,2,35,5/7,New,"3,917 €","137,088 €"
Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49 Mūsdienīga,Hospitalu 49,3,53,2/8,New,"3,269 €","173,279 €"
Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49 Mūsdienīga,Hospitalu 49,3,71,2/8,New,"2,924 €","207,617 €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,Sadovnikova 30,1,20,1/5,Recon.,"2,225 €","44,500 €"
Piedāvājam iegādāties 3 istabu dzīvoki Rīgas centrā. Dzīvoklis a,Brivibas 74,3,92,3/6,Stalin project,"2,467 €","227,000 €"
Pārdodam pilnībā renovētu 2-istabu dzīvokli pašā Rīgas centra.,Brivibas 68,2,45,2/6,Recon.,"3,531 €","158,900 €"
Pārdodam pilnībā renovētu 2-istabu dzīvokli pašā Rīgas centra.,Brivibas 68,2,49,3/6,Recon.,"3,507 €","171,850 €"
Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36. Ēka,Lachplesha 36,3,60,2/5,Recon.,"3,806 €","228,380 €"
"Matīsa ielā 93 pieejama atvērta plānojuma telpa, kas gaida savu",Matisa 93,2,91,5/5,Pre-war house,407 €,"37,000 €"
Piedāvājam iegādāties plašu 3 istabu dzīvokli ar atsevišķu virtu,Mīlenbaha 1,3,74,2/6,Recon.,"2,020 €","149,500 €"
"Pilnībā mēbelēts divu istabu dzīvoklis Rīgas centrā, Marijas iel",Marijas 14,2,34,6/6,Recon.,"3,794 €","129,000 €"
Lieliska iespēja iegūt savā īpašumā plašu un gaišu mansarda dzīv,Etnas 8,4,161,5/5,Pre-war house,"1,584 €","255,000 €"
Aģentus lūdzu netraucēt . Klusa un gaiša 3 istabu oāze pašā R,Valdemara 9,3,89,2/2,Pre-war house,"2,067 €","184,000 €"
Divu līmeņu (1. un 2. stāvi) dzīvoklis sētas mājā. Nepieciešams,Zaubes 22,6,172,2/6,Pre-war house,826 €,"142,000 €"
Plašs un saulains 3-istabu dzīvoklis ar divām vannas istabām un,Skanstes 29A,3,87,17/23,New,"3,218 €","280,000 €"
"2-istabu dzīvoklis centrā Aleksandra Čaka ielā 132, Rīgā. Pirm",Chaka 132,2,44,2/5,Pre-war house,"1,955 €","86,000 €"
Pilnībā renovēts 2 istabu dzīvoklis Rīgas vēsturiskajā centrā.,Dzirnavu 157,2,49,2/3,Pre-war house,"2,429 €","119,000 €"
Lieliska iespēja iegādāties gaumīgu un mājīgu 2-istabu dzīvokli,Barona 129,2,50,3/6,Recon.,"2,440 €","122,000 €"
Projekta attīstītājs pārdod dzīvokli jaunajā projektā – Matīsa N,Matisa 27,2,39,1/6,Recon.,"1,844 €","71,900 €"
Projekta attīstītājs pārdod dzīvokli jaunajā projektā – Matīsa N,Matisa 27,5,104,2/6,Recon.,"1,630 €","169,500 €"
Projekta attīstītājs pārdod dzīvokli jaunajā projektā – Matīsa N,Matisa 27,4,76,2/6,Recon.,"1,757 €","133,500 €"
"Brīvības ielā tiek pārdots kompakts, funkcionāls un gaišs dzīvok",Brivibas 133,2,33,4/4,Pre-war house,"1,667 €","55,000 €"
Piedāvājumā plašs 4 istabu dzīvoklis vēsturiskā jūgendstila namā,Brivibas 105,4,90,1/5,Recon.,"2,189 €","197,000 €"
Lūgums mākleriem netraucēt un nepiedāvāt nekāda veida palīdzību,Chaka 33,3,71,3/7,Pre-war house,"2,704 €","192,000 €"
"Pilnībā atjaunots 2 istabu dzīvoklis ar autonomu gāzes apkuri, a",Bruninieku 92,2,42,2/2,Pre-war house,"1,964 €","82,500 €"
Pārdodam plašu un funkcionālu 1 istabas dzīvokli. Dzīvojāma ista,Brivibas 152,1,37,3/7,Spec. pr.,"1,622 €","60,000 €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",Vashingtona pl. 2,5,125,4/5,Recon.,"3,855 €","481,828 €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,Brivibas 190,4,72,3/6,Recon.,"1,569 €","112,970 €"
Iekšpagalma ēka. Attīstītajs piedāvā iegādāties dzīvokļus 1912,Brivibas 190,2,40,1/6,Recon.,"1,416 €","56,628 €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,Brivibas 190,2,55,5/6,Recon.,"1,580 €","86,900 €"
"Trīsistabu dzīvoklis pašā Rīgas centrā, Popovu muižiņā. Pagalm",Visvalzha 8,3,87,2/3,Pre-war house,782 €,"68,000 €"
Unikāla iespēja iegādāties īpašumu pašā Rīgas sirdī – prestižajā,Blaumana 20,3,66,6/7,New,"4,483 €","295,900 €"
Dzīvoklis ar potenciālu - 3 istabu mansards Kalpaka Rezidencē,Kalpaka boul. 7,3,86,6/6,Recon.,"3,663 €","315,000 €"
Investīciju iespēja Rīgas Klusajā centrā dzīvoklis cokolstāvā ar,Veru 3,3,63,1/5,Pre-war house,"1,143 €","72,000 €"
Pārdodu tiko remontētu un labiekārtotu 2 istabu dzīvokli netālu,Katrinas d. 6,2,44,1/3,Recon.,"2,261 €","99,500 €"
"Attīstītājs piedāvā dzīvokli projektā ""Katrīnas pagalms"" Dzīv",Piena 2,2,62,2/3,Recon.,"2,214 €","137,280 €"
Pārdodam ļoti plašu un gaišu dzīvokli lieliskā vietā pie Dailes,Brivibas 73,4,147,4/5,Pre-war house,"1,694 €","249,000 €"
Māja ir nodota ekspluatācijā. Attīstītājs piedāvā dzīvokļus,Lachplesha 36,1,29,5/5,Recon.,"3,625 €","105,120 €"
Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36. Ēka,Lachplesha 36,2,35,5/5,Recon.,"3,360 €","117,585 €"
Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36. Ēka,Lachplesha 36,2,41,1/5,Recon.,"3,828 €","156,940 €"
Ēka ir tikko nodota ekspluatācijā. Dzīvokļi ar pilnu apdari,Zvaigzhnu 21,3,51,4/5,Recon.,"2,409 €","122,880 €"
Izcils investīciju un dzīvošanas īpašums Rīgas centrā – Skolas i,Skolas 36A,3,72,2/4,Recon.,"1,931 €","139,000 €"
Pārdod elegantu 3 istabu dzīvokli Rīgas centrā – A. Čaka un Matī,Chaka 70,3,151,6/6,Pre-war house,"1,848 €","279,000 €"
"Latviešu valodā Pārdošanā stilīgs, plašs un ļoti gaišs 2 ista",Riepnieku 2,2,79,6/6,Stalin project,"2,277 €","179,900 €"
"Pārdodu siltu, gaišu, saulainu un mājīgu dzīvokli, kas atrodas l",Vesetas 28,2,42,6/6,Chrusch.,"1,981 €","83,200 €"
Pārdod plašu 4 istabu dzīvokli 100 m² platībā skaistā pirmskara,Terbatas 6,4,100,2/5,Pre-war house,"1,865 €","186,500 €"
Pārdod Rīgas centrā lielu un ļoti gaišu 5 -istabu dzīvokli. Dzīv,Blaumana 21,5,143,5/5,Pre-war house,"2,692 €","385,000 €"
"Klusā Grīziņkalna pagalmā, Vārnu ielā, pārdošanā nonācis dzīvokl",Varnu 11,3,83,1/4,Recon.,"1,193 €","99,000 €"
Pārdod dzīvokli pirmskara mūra ēkā Rīgas centrā - ar logiem uz k,Brivibas 117,3,62,2/2,Pre-war house,"1,177 €","73,000 €"
