description,url,Street,R.,m²,Floor,Series,"Price, m2",Price
Piedāvājam iegādāties 45m² plašas puspagraba telpas mūra ēkā Rīg,https://www.ss.com/msg/en/real-estate/flats/riga/centre/acdgj.html,Bruninieku 68A,1,45,1/4,Pre-war house,656 €,"29,500  €"
"Pašā Rīgas centrā, blakus Vērmanes darzam, piedāvājam dzīvokli,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fdkjk.html,Kalnina 6,2,61,2/6,Pre-war house,"2,820 €","172,000  €"
"Blaumaņa iela 12, Rīga 64 m² 250 000 Eur

Pārdošanā elegants u",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bepoom.html,Blaumana 12,3,64,6/6,Recon.,"3,906 €","250,000  €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjfdc.html,Sadovnikova 30,2,35,2/5,Recon.,"2,457 €","86,000  €"
"Atvērta rezervācija. 

Dzīvokļi ar pilnu apdari renovētā ēkā,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/becooe.html,Zvaigzhnu 21,2,26,2/5,Recon.,"2,382 €","61,920  €"
Tiek pārdots pilnībā mēbelēts un dzīvošanai aprīkots 4 istabu dz,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjxhh.html,Birznieka-Upisha 1..,4,112,5/7,New,"2,750 €","308,000  €"
"Piedāvājam iegādāties plašu un mājīgu 5 istabu dzīvokli (150, 9",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bemgbb.html,Valdemara 39,5,150,3/6,Recon.,"1,667 €","250,000  €"
Labdien. Pardodam ļoti labi novietotu dzīvokli pieprasītā Veseta,https://www.ss.com/msg/en/real-estate/flats/riga/centre/eicfo.html,Vesetas 10,4,103,1/8,Spec. pr.,"1,932 €","199,000 €"
Tiek piedāvāts kapitāli izremontētais dzīvoklis Rīgas klusajā ce,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adlgj.html,Artilerijas 44,3,95,2/4,Pre-war house,"2,100 €","199,500 €"
"Pārdod 3 istabu dzīvokli Klusajā centrā, Eksporta ielā 12. Ēka r",https://www.ss.com/msg/en/real-estate/flats/riga/centre/abfhx.html,Eksporta 12,3,79,1/6,Recon.,"1,759 €","139,000  €"
Pārdošanā elegants divu līmeņu dzīvoklis klusajā centrā – presti,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gfhco.html,Dzirnavu 34,6,155,4/5,Recon.,"1,916 €","297,000  €"
"Pārdod 3 istabu dzīvokli Rīgas centrā, Tērbatas ielā 20. Dzīvokl",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcikjx.html,Terbatas 20,3,68,3/6,Recon.,"3,653 €","248,400  €"
"Pārdod 2 istabu dzīvokli Rīgas centrā, Tērbatas ielā 20. Dzīvokl",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bciggf.html,Terbatas 20,2,48,3/6,Recon.,"3,323 €","159,500  €"
"Piemērots izīrēšanai vai pašiem dzīvošanai. 
Dzīvoklis Nr. 55",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedjbl.html,Chaka 133,1,32,4/6,Pre-war house,"1,469 €","46,998  €"
"Siltas, sausas, saulainas augsta puspagraba telpas kuras var izm",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ahdpo.html,Chaka 133,4,125,1/6,Pre-war house,540 €,"67,541  €"
"Pārdodam dzīvokli skaistā lokācijā Rīgas centrā, ar skatu uz Par",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aehbe.html,Raina boul. 17,5,189,5/5,Recon.,"1,746 €","330,000  €"
"Продаётся светлая и уютная квартира со свежим ремонтом 

Кварт",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aoobo.html,Chaka 121,1,40,2/6,Pre-war house,"1,900 €","76,000 €"
"Pilsētas centrā tiek pārdots mājīgs, saulains un labi uzturēts t",https://www.ss.com/msg/en/real-estate/flats/riga/centre/agcfg.html,Gertrudes 84,3,81,2/6,Pre-war house,"1,852 €","149,999  €"
Pārdod 3 istabu dzīvokli pašā Rīgas centrā. Dzīvoklis pārdodas k,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hdpbb.html,Brivibas 60,3,55,4/4,Pre-war house,"2,273 €","125,000  €"
Īpašnieks pārdod 4 istabu dzīvokli Rīgas centrā. Zeme īpašumā. D,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bhenj.html,Stabu 84,4,95,3/4,Pre-war house,"1,126 €","107,000  €"
Pārdošanā elegants un pilnībā mēbelēts 3 istabu dzīvoklis Rūpnie,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bkkbm.html,Rupniecibas 44,3,140,4/6,New,"2,607 €","365,000  €"
Pārdodu stilīgu premium klases divistabu dzīvokli pašā Rīgas cen,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bekbjm.html,Artilerijas 19,2,42,2/5,Pre-war house,"3,095 €","130,000  €"
"Ēka celta 1911. gadā no silikātķieģeļiem, saglabājot pirmskara a",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cdofk.html,Matisa 119,3,84,4/5,Pre-war house,"1,356 €","113,940  €"
Tiek pārdots plašs un elegants piecu istabu dzīvoklis Rīgas cent,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adjib.html,Barona 92,5,139,2/6,Pre-war house,"2,496 €","347,000  €"
"Šarmants 2-istabu dzīvoklis vēsturiskā pirmskara mūra ēkā
Piedā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/akcpo.html,Barona 80,2,45,4/5,Pre-war house,"2,178 €","98,000  €"
"Skanstes rajonā tiek pārdots mājīgs, silts, gaišs un nav stūra t",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aempf.html,Zirnu 5 k. 2,3,60,4/9,467-th,"1,700 €","102,000  €"
Brīvības ielā 190 jaunu dzīvi sāk 1912. gadā pēc arhitekta Nikol,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdphnn.html,Brivibas 190,3,48,2/6,Recon.,"2,281 €","109,480  €"
"Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49

Mūsdienīga",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bednxo.html,Hospitalu 49,2,45,2/8,New,"3,182 €","143,200  €"
Pārdod plašu un ekskluzīvu četristabu dzīvokli Rīgas centrā – Pē,https://www.ss.com/msg/en/real-estate/flats/riga/centre/flejk.html,Pernavas 41,4,105,6/6,Recon.,"2,642 €","277,440  €"
Īpašnieks pārdod dzīvokli ar 4 metrus augstiem griestiem jaunajā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adinf.html,Brivibas 201,2,57,3/5,New,"1,991 €","113,500  €"
Īpašnieks pārdod dzīvokli ar panorāmas logiem jaunajā projektā –,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bjxcf.html,Brivibas 201,1,37,4/5,New,"2,068 €","76,500  €"
Projekta attīstītājs piedāvā iegādāties dzīvokli ar 4 metrus aug,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fpbhb.html,Brivibas 201,2,38,2/5,New,"2,092 €","79,500  €"
Īpašnieks pārdod dzīvokli ar 4 metrus augstiem griestiem jaunajā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpngb.html,Brivibas 201,2,56,3/5,New,"2,009 €","112,500  €"
Īpašnieks pārdod dzīvokli ar balkonu un 3 metrus augstiem griest,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ceglm.html,Brivibas 201,3,76,4/5,New,"2,164 €","164,500  €"
Īpašnieks pārdod dzīvokli ar 4 metrus augstiem griestiem jaunajā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcigjm.html,Brivibas 201,3,84,2/5,New,"1,808 €","151,900  €"
Īpašnieks pārdod Fantastisku un izlolotu dzīvokli Rīgas centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpfgb.html,Brivibas 95,2,64,7/7,Pre-war house,"3,094 €","198,000  €"
"Dzīvoklis ar stavvietu atrodas skaistā vēsturiskā ēkā, kas izvie",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcbbih.html,Avotu 8 k-1,2,61,2/6,Pre-war house,"1,869 €","114,000  €"
"Pārdod labiekārtotas ofisa telpas 61 m2 platībā, tika pārbūvētas",https://www.ss.com/msg/en/real-estate/flats/riga/centre/egool.html,Tomsona 39,2,61,2/10,New,"1,803 €","110,000  €"
"Pārdod 2 istabu dzīvokli Rīgas centrā. 
Dzīvoklim nepieciešams",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aohin.html,Matisa 84,2,25,1/2,Pre-war house,756 €,"18,900  €"
Rīgas centrā tiek pārdots 2-istabu saulains un elegants dzīvokli,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bxixc.html,Brivibas 68,2,49,2/6,Recon.,"3,471 €","170,100  €"
"Pārdod divu guļamistabu dzīvokli Rīgas Sirdī

Šis gaišais un p",https://www.ss.com/msg/en/real-estate/flats/riga/centre/hhcfk.html,Blaumana 25,2,47,3/5,Pre-war house,"2,723 €","128,000  €"
Pārdodam kompaktu un funkcionālu 1 istabas dzīvokli. Dzīvoklis t,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aonkj.html,Bruninieku 121B,1,29,1/6,Recon.,"2,241 €","65,000  €"
Pārdodam gaišu 2 istabu dzīvokli ar patīkamu mājīgumasajūtu Kriš,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ahgxi.html,Barona 96/98,2,52,4/5,Stalin project,"2,154 €","112,000  €"
Īpašnieks pārdod 3 istabu dzīvokli 112 m² Rīgas klusajā centrā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afgdb.html,Republikas pl. 3,3,112,3/7,New,"2,188 €","245,000  €"
Iekšpagalma dzīvoklis Rīgas centrā ar ērtu infrastruktūru blakus,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bexlne.html,Valdemara 57/59,2,73,5/6,Pre-war house,"1,705 €","124,500  €"
Mājīgs trīsistabu dzīvoklis Rīgas centrā. Atrodas pie Gaisa tilt,https://www.ss.com/msg/en/real-estate/flats/riga/centre/abiie.html,Brivibas 177,3,67,3/6,Spec. pr.,"1,761 €","118,000  €"
"Silts un mājīgs 3 istabu dzīvoklis, 74 m2, augstais beletāžas 1.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcncdd.html,Stabu 46/48,3,74,1/5,Recon.,"1,554 €","115,000  €"
"Studio tipa dzīvoklis ar autostāvvietu Klusajā centrā. 

Pārdo",https://www.ss.com/msg/en/real-estate/flats/riga/centre/foppp.html,Strelnieku 15,1,30,2/3,Recon.,"2,666 €","79,990  €"
"Piedāvājumā stilīgs un mājīgs 1-istabas dzīvoklis Rīgas centrā,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dpjnh.html,Klusa 16,1,26,1/4,Recon.,"2,769 €","72,000  €"
Pārdodu lielisku trīsistabu dzīvokli pirmskara laika ķieģeļu māj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ehglm.html,Ganibu d. 3,3,93,2/4,Pre-war house,"1,882 €","175,000  €"
"Pārdodu saulainu un siltu 2 istabu dzīvokli centrā, Eksporta iel",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ablpc.html,Eksporta 14,2,55,5/5,Stalin project,"1,909 €","105,000  €"
"Nestandarta planojums. Augsts pirmais stāvs - 1, 75 m. līdz palo",https://www.ss.com/msg/en/real-estate/flats/riga/centre/becebg.html,Valdemara 143,3,60,1/6,Chrusch.,"1,167 €","70,000  €"
"Pārdod jaunu, modernu un pilnībā aprīkotu 3 istabu dzīvokli jaun",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpfbl.html,Dainas 10A,3,65,3/6,New,"3,154 €","205,000  €"
Gaišs un mājīgs 2 istabu dzīvoklis pagalmā ēkā lieliska izvēle t,https://www.ss.com/msg/en/real-estate/flats/riga/centre/abogb.html,Brivibas 159,2,46,2/5,Pre-war house,"1,957 €","90,000  €"
Красивая 2к квартира. Без посредников пожалуйста. Стратегически,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bkheg.html,Dzirnavu 3А,3,53,1/5,Pre-war house,"2,545 €","134,900  €"
Lat/ang/rus/ Lieliska investīciju iespēja: kompakti divistabu dz,https://www.ss.com/msg/en/real-estate/flats/riga/centre/giekg.html,Chaka 26a,2,42,1/5,Recon.,"2,543 €","106,800  €"
"Pārdod 3-istabu dzīvoklis ar panorāmas logiem, projektā ""Duntes",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dpikp.html,Duntes 28,3,71,4/16,New,"2,239 €","159,000  €"
"Pārdod gaišu un plašu 3 istabu dzīvokli Pētersalā, klusā un ļoti",https://www.ss.com/msg/en/real-estate/flats/riga/centre/begpme.html,Lugazhu 4,3,63,5/5,Lit pr.,"1,143 €","72,000  €"
Pārdošanā – Ienesošs Investīciju Dzīvoklis Rīgas Centrā (K. Baro,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bijee.html,Barona 24/26,1,27,5/6,Recon.,"3,911 €","105,600  €"
Pārdod kvalitatīvu un komfortablu 3 istabu dzīvokli Rīgas centrā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/behofp.html,Marijas 16,3,65,4/7,Recon.,"2,138 €","139,000  €"
Investīciju piedāvājums: divistabu dzīvoklis pašā Rīgas centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfbpm.html,Chaka 26,2,37,1/7,Recon.,"3,155 €","116,750  €"
Investīciju piedāvājums: divistabu dzīvoklis pašā Rīgas centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bmxmc.html,Chaka 26,2,43,1/7,Recon.,"3,115 €","133,945  €"
"Продается уникальная квартира-студия площадью 15, 1 м2, располож",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cndce.html,Elizabetes 12,1,15,1/5,Recon.,"4,993 €","74,900  €"
A unique investment opportunity: a compact -room apartment in th,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfcip.html,Chaka 26а,1,25,1/5,Recon.,"2,572 €","64,300  €"
Pārdošanā kvalitatīvs 2 istabu dzīvoklis renovētā iekšpagalma mā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adhld.html,Chaka 113a,2,46,1/6,Recon.,"2,511 €","115,500  €"
"Reta iespēja - ideāls plānojums
Rare offer - ideal layout
Редк",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aixdl.html,Raina boul. 2,4,149,3/6,Recon.,"2,208 €","329,000  €"
Pārdod pilnībā renovētu 2 istabu dzīvokli Rīgas centrā - Katrīna,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aebne.html,Katrinas d. 14,2,77,3/4,New,"2,532 €","195,000  €"
"Pārdodam plašu 6 istabu dzīvokli izskatīgā Jūgendstila namā, lie",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bckmdg.html,Gertrudes 30,6,142,4/5,Pre-war house,"1,570 €","223,000  €"
"Pārdodu jauku divistabu dzīvokli Rīgas centrā , netālu no stacij",https://www.ss.com/msg/en/real-estate/flats/riga/centre/afjgm.html,Raina boul. 31,2,37,5/6,Pre-war house,"2,405 €","89,000  €"
"Quiet center, new, design masterpiece, sunny, top quality apartm",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ddbdd.html,Eksporta 4,6,205,2/6,Recon.,"3,366 €","690,000  €"
Gaišs un plašs 3 istabu dzīvoklis (53 m²) Rīgas centrā lieliska,https://www.ss.com/msg/en/real-estate/flats/riga/centre/alono.html,Dzirnavu 132,3,53,2/5,Pre-war house,"1,623 €","86,000 €"
"Продаётся просторная изящная квартира в историческом центре, в д",https://www.ss.com/msg/en/real-estate/flats/riga/centre/glmbi.html,Pumpura 5,5,330,2/5,Recon.,"3,636 €","1,200,000  €"
"Продается просторная и светлая 5-комнатная двухэтажная квартира,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/hhfip.html,Zaubes 9А,5,191,6/6,New,"3,084 €","589,000  €"
Pārdod plašu 3 istabu dzīvokli renovētā pirmskara ēkā Rīgas cent,https://www.ss.com/msg/en/real-estate/flats/riga/centre/apbfg.html,Terbatas 38,3,82,4/7,Recon.,"2,439 €","200,000  €"
Piedāvājam iegādāties plašu un izsmalcinātu 3 istabu dzīvokli El,https://www.ss.com/msg/en/real-estate/flats/riga/centre/amgib.html,Elizabetes 18,3,102,3/6,Recon.,"5,490 €","560,000  €"
Īpašnieks pārdod 3-istabu dzīvokli Matīsa ielā lieliskā lokācijā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hdojl.html,Matisa 20,3,60,3/3,Pre-war house,767 €,"46,000  €"
"Plašs un kluss dzīvoklis Rīgas centrā, kvalitatīvā pirmskara māj",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcnfeg.html,Brivibas 72,5,131,2/6,Pre-war house,"1,525 €","199,800  €"
"Pārdodu 93 m² plašu puspagraba telpu īpašumu, kas pielāgots dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcohle.html,Matisa 31,Other,94,1/4,Pre-war house,298 €,"28,000  €"
109 m² plašas pagraba telpas fantastiskā lokācijā ar lielisku in,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpgpf.html,Terbatas 39,6,110,1/5,Pre-war house,250 €,"27,500  €"
"Pārdodu pagraba telpu īpašumu, kas pielāgots dzīvošanai un izvei",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedljk.html,Blaumana 16/18,1,34,1/5,Recon.,556 €,"18,900  €"
"Pārdošanā gaišs un mājīgs 2 istabu dzīvoklis Rīgas centrā. 

Ķ",https://www.ss.com/msg/en/real-estate/flats/riga/centre/biocb.html,Chaka 148,2,53,5/5,Pre-war house,"1,585 €","84,000  €"
Pārdod 2-istabu dzīvokli Rīgas centrā – laba izvēle gan dzīvošan,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bepgpf.html,Stabu 15,2,50,2/6,Stalin project,"2,300 €","115,000  €"
"Labā stāvoklī, gatavs dzīvošanai saulains, gaišs dzīvoklis lieli",https://www.ss.com/msg/en/real-estate/flats/riga/centre/acklc.html,Zvaigzhnu 26,2,46,2/7,Spec. pr.,"1,628 €","74,900  €"
"Rīgas centra jaunajā projektā “Tērbatas dārzs”, kas atrodas Tērb",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bffxcl.html,Terbatas 78A,3,67,2/7,New,"3,134 €","210,000  €"
"Pārdodu jauku, radošumu rosinošu dzīvokli centrā, Timoteja iela",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bffehg.html,Timoteja 1,2,60,4/4,Pre-war house,"1,583 €","95,000  €"
"Pārdod svaigi remontētu, ekonomisku dzīvokli ar visām mēbelēm un",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fjxjg.html,Ganibu d. 13/1,2,31,3/8,New,"1,871 €","58,000  €"
Plašs divistabu dzīvoklis renovētas ēkas 3.stāvā. Izcila lokācij,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dghgo.html,Chaka 38A,2,43,3/6,Recon.,"2,060 €","88,600  €"
"Pārdodu plašu trīsistabas dzīvokli pašā Vecrīgas sirdī. 
Atroda",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dhelg.html,Kaleju 74,3,102,3/4,New,"2,304 €","235,000  €"
Plašs divistabu dzīvoklis renovētā mājā ar individuālu gāzes apk,https://www.ss.com/msg/en/real-estate/flats/riga/centre/begeeg.html,Gertrudes 77,2,70,2/5,Pre-war house,"2,136 €","149,500  €"
Pārdod elegantu 4 istabu dzīvokli prestižā Rīgas rajonā Baznīcas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bhdhi.html,Baznicas 27/29,4,144,4/6,Recon.,"2,424 €","349,000  €"
Pārdodu 2- istabu dzīvokli klusajā centrā. Dzīvoklis atrodas māj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bejjp.html,Katrinas d. 22c,2,43,2/3,Chrusch.,977 €,"42,000 €"
Pārdošanā ir kompakts vienas istabas dzīvoklis un lielisks inves,https://www.ss.com/msg/en/real-estate/flats/riga/centre/amxxi.html,Lejas 7,1,16,2/2,Pre-war house,"1,188 €","19,000  €"
Pārdošanā 2 istabu dzīvoklis pirmskara laika ēkā Rīgas Centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedmon.html,Zvaigzhnu 13c,2,46,1/5,Pre-war house,"1,152 €","53,000  €"
"Tiek pārdots izremontēts dzīvoklis pašā Rīgas centrā, klusā paga",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfepko.html,Marijas 20,3,78,1/4,Recon.,"2,269 €","177,000  €"
Продаётся 2-х комнатная квартира в отличном проекте Skanstes Vir,https://www.ss.com/msg/en/real-estate/flats/riga/centre/blnho.html,Skanstes 29a,2,67,11/24,New,"2,657 €","178,000  €"
Vēsturiski telpas izmantotas kā birojs vairākiem apdrošināšanas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bekcik.html,Hospitalu 8,5,129,1/6,New,"1,240 €","160,000  €"
"Penthauzs ar kamīnu pilsētas centrā Stabu 92

Dzīvoklis:
- Pl",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ebifl.html,Stabu 92,2,93,5/5,Recon.,"2,097 €","195,000  €"
"Pārdod 2 istabu dzīvokli Rīgas centrā, Katrīnas dambī 14

Piln",https://www.ss.com/msg/en/real-estate/flats/riga/centre/agbng.html,Katrinas d. 14,2,52,2/4,New,"2,600 €","135,200  €"
Pārdošanā tiek piedāvāts izsmalcināts un plašs 6-istabu dzīvokli,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfefdm.html,Vilandes 6,6,204,4/4,Recon.,"2,426 €","495,000  €"
"Patiesi autentisks dzīvoklis prestižajā Baznīcas ielā 37

Pati",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ekkxd.html,Baznicas 37,4,144,3/5,Pre-war house,"3,021 €","435,000  €"
Pārdod mājīgu divistabu dzīvokli Rīgas centrā – Timoteja ielā 1A,https://www.ss.com/msg/en/real-estate/flats/riga/centre/abxol.html,Timoteja 1A,2,52,2/4,Pre-war house,"1,601 €","83,230  €"
"Dzīvoklis ar autosstāvvietu pagalmā, pašā Rīgas centrā. 
Lielis",https://www.ss.com/msg/en/real-estate/flats/riga/centre/begngg.html,Birznieka-Upisha 1..,1,25,2/2,Pre-war house,"1,540 €","38,500  €"
"Pārdod plašu 3 istabu dzīvokli Rīgas centrā, Skolas ielā 25.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcijkg.html,Skolas 25,3,72,3/5,Pre-war house,"2,083 €","150,000  €"
"Dzīvokļa plānojums:
2 izolētas istabas
Plaša viesistaba apvien",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bexxjc.html,Brivibas 72,3,82,5/5,Pre-war house,"2,354 €","193,000  €"
Gaišs un gatavs dzīvošanai jūsu jaunais dzīvoklis Grīziņkalnā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/befgol.html,Valmieras 28,3,70,2/5,Recon.,"2,500 €","175,000  €"
Patīkams mini dzīvoklis ar stāvvietu slēgtā pagalmā. Ēka atrodas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpfil.html,Matisa 58,1,22,2/2,Pre-war house,"1,341 €","29,500  €"
"Iegādei piedāvājam mēbelētu, ar sadzīves tehniku aprīkotu divist",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ecpdf.html,Pulkv. Briezha 10,2,35,5/7,New,"3,917 €","137,088  €"
"Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49

Mūsdienīga",https://www.ss.com/msg/en/real-estate/flats/riga/centre/adfhk.html,Hospitalu 49,3,53,2/8,New,"3,269 €","173,279  €"
"Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49

Mūsdienīga",https://www.ss.com/msg/en/real-estate/flats/riga/centre/eobec.html,Hospitalu 49,3,71,2/8,New,"2,924 €","207,617  €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcimch.html,Sadovnikova 30,1,20,1/5,Recon.,"2,225 €","44,500  €"
Piedāvājam iegādāties 3 istabu dzīvoki Rīgas centrā. Dzīvoklis a,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cidcc.html,Brivibas 74,3,92,3/6,Stalin project,"2,467 €","227,000  €"
Pārdodam pilnībā renovētu 2-istabu dzīvokli pašā Rīgas centra.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bepxxk.html,Brivibas 68,2,45,2/6,Recon.,"3,531 €","158,900  €"
Pārdodam pilnībā renovētu 2-istabu dzīvokli pašā Rīgas centra.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ekjno.html,Brivibas 68,2,49,3/6,Recon.,"3,507 €","171,850  €"
"Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36.

Ēka",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bhlki.html,Lachplesha 36,3,60,2/5,Recon.,"3,806 €","228,380  €"
"Matīsa ielā 93 pieejama atvērta plānojuma telpa, kas gaida savu",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bmnmj.html,Matisa 93,2,91,5/5,Pre-war house,407 €,"37,000  €"
Piedāvājam iegādāties plašu 3 istabu dzīvokli ar atsevišķu virtu,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bemhfh.html,Mīlenbaha 1,3,74,2/6,Recon.,"2,020 €","149,500  €"
"Pilnībā mēbelēts divu istabu dzīvoklis Rīgas centrā, Marijas iel",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclfox.html,Marijas 14,2,34,6/6,Recon.,"3,794 €","129,000  €"
Lieliska iespēja iegūt savā īpašumā plašu un gaišu mansarda dzīv,https://www.ss.com/msg/en/real-estate/flats/riga/centre/apnnj.html,Etnas 8,4,161,5/5,Pre-war house,"1,584 €","255,000  €"
"Aģentus lūdzu netraucēt .

Klusa un gaiša 3 istabu oāze pašā R",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ecgji.html,Valdemara 9,3,89,2/2,Pre-war house,"2,067 €","184,000  €"
Divu līmeņu (1. un 2. stāvi) dzīvoklis sētas mājā. Nepieciešams,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bepohm.html,Zaubes 22,6,172,2/6,Pre-war house,826 €,"142,000  €"
Plašs un saulains 3-istabu dzīvoklis ar divām vannas istabām un,https://www.ss.com/msg/en/real-estate/flats/riga/centre/behcdb.html,Skanstes 29A,3,87,17/23,New,"3,218 €","280,000  €"
"2-istabu dzīvoklis centrā Aleksandra Čaka ielā 132, Rīgā. 
Pirm",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfbcbd.html,Chaka 132,2,44,2/5,Pre-war house,"1,955 €","86,000  €"
Pilnībā renovēts 2 istabu dzīvoklis Rīgas vēsturiskajā centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dfced.html,Dzirnavu 157,2,49,2/3,Pre-war house,"2,429 €","119,000  €"
Lieliska iespēja iegādāties gaumīgu un mājīgu 2-istabu dzīvokli,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjnld.html,Barona 129,2,50,3/6,Recon.,"2,440 €","122,000  €"
Projekta attīstītājs pārdod dzīvokli jaunajā projektā – Matīsa N,https://www.ss.com/msg/en/real-estate/flats/riga/centre/abckf.html,Matisa 27,2,39,1/6,Recon.,"1,844 €","71,900  €"
Projekta attīstītājs pārdod dzīvokli jaunajā projektā – Matīsa N,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcikco.html,Matisa 27,5,104,2/6,Recon.,"1,630 €","169,500  €"
