description,url,District,R.,m²,Floor,Series,Price
"Pārdošanā ir nonācis skaists, gaišs 2-istabu dzīvoklis Rīgas cen",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dpied.html,Centre Stabu 33,2,47,2/2,Recon.,"85,000  €"
"Skanstes Virsotnes projektā, Skanstes ielā 29A, piedāvājumā gaiš",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcipdm.html,Centre Skanstes 29a,2,67,11/24,New,"178,000  €"
"Pārdošanā elegants 3 istabu dzīvoklis Ausekļa ielā 3, vēsturiska",https://www.ss.com/msg/en/real-estate/flats/riga/centre/beglii.html,Centre Ausekla 3,3,72,1/5,Pre-war house,"165,000  €"
Piedāvājam iespēju iegādāties plašu četru istabu dzīvokli “Dreil,https://www.ss.com/msg/en/real-estate/flats/riga/dreilini/acikc.html,Dreilini Valtera 1A,4,79,4/4,New,"181,400  €"
Ekskluzīvs un plašs dzīvoklis specprojektā ar lieliem logiem un,https://www.ss.com/msg/en/real-estate/flats/riga/zasulauks/gixkf.html,Zasulauks Tapeshu 25,2,58,5/5,Spec. pr.,"47,900  €"
Elegants 3-istabu dzīvoklis ar saunu pie Viesturdārza - Klusais,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bgfjb.html,Centre Rupniecibas 21,3,94,2/7,New,"295,000  €"
"Ja Jūs novērtējat mājīgumu un komfortu, iegādei piedāvājam 2. is",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bklnef.html,Plyavnieki Jasmuizhas 18/1,2,49,3/9,New,"94,900  €"
Pārdod ekonomisku dzīvokli skaistā vēsturiskā Staļina laikā celt,https://www.ss.com/msg/en/real-estate/flats/riga/mangali/pflnj.html,Mangali Ezera 1,2,58,4/4,Stalin project,"42,000  €"
"Pārdodu dzīvokli Staļina laika mājā. 
Dzīvoklis atrodas 2. stāv",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/apdnj.html,Kengarags Latgales 385,2,50,2/3,Stalin project,"58,000  €"
"Piedāvājam skaistu 2 istabu dzīvokli ar terasi Rīgas centrā. 
D",https://www.ss.com/msg/en/real-estate/flats/riga/centre/algxi.html,Centre Pulkv. Briezha 21,2,72,3/7,New,"241,000  €"
"Pārdod plašu un ļoti gaišu dzīvokli ar skaistu skatu. 
+Plašs u",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/gddih.html,Plyavnieki J. Vaciesha 2c,3,76,16/16,Spec. pr.,"74,500  €"
Pārdod 2 dzīvokļus (41 m²) ar apvienošanas iespēju un atsevišķu,https://www.ss.com/msg/en/real-estate/flats/riga/bierini/dbeln.html,Bierini Liepajas 37b,3,41,1/1,Pre-war house,"38,000 €"
"Продаётся светлая 3-комнатная квартира с балконом. 

Квартира",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/ahjgd.html,Sarkandaugava Tvaika 54k-2,3,55,5/4,Chrusch.,"52,200  €"
"Plašs 3 istabu dzīvoklis Pļavniekos, Jasmuižas ielā. Piedāvājumā",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/ckifn.html,Plyavnieki Jasmuizhas 11,3,64,8/8,602-th,"79,800 €"
"Gaišs dzīvoklis ar pārdomātu plānojumu, kas tiek pārdots ar mēbe",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/afcnl.html,Zolitude Biezina 9,2,58,5/9,119-th,"77,500 €"
Īpašnieks pārdod gaišu un siltu divu istabu dzīvokli lieliskā vi,https://www.ss.com/msg/en/real-estate/flats/riga/yugla/chxko.html,Yugla Malienas 76,2,47,5/5,Lit pr.,"57,900 €"
Attīstītājs piedāvā iegādāties dzīvokli 1912. gadā celtā pirmska,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afmhc.html,Centre Brivibas 190,1,29,4/6,Recon.,"46,746  €"
"Kluss, gaišs un saulains dzīvoklis Stabu ielā. 

Dzīvoklī ir 4",https://www.ss.com/msg/en/real-estate/flats/riga/centre/hcmbk.html,Centre Stabu 62a,4,109,3/5,Pre-war house,"220,000  €"
Attīstītājs un īpašnieks – kompāniju grupa “R. Evolution” – pārd,https://www.ss.com/msg/en/real-estate/flats/riga/centre/apchl.html,Centre Strelnieku 5,3,139,5/7,New,"583,000  €"
"Pārdodam dzīvokli Ostas prospektā 4, 5 stāvu mājas 4. stāvā. 
V",https://www.ss.com/msg/en/real-estate/flats/riga/mangali/dffon.html,Mangali Ostas pr. 4,2,47,4/5,Chrusch.,"42,000  €"
"Dzīvoklis kā privātmāja Rīgas centrā, rajonā starp veco jūgensti",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cbojk.html,Centre Lenсu 1,5,162,3/3,Pre-war house,"305,000 €"
"Lv

Pārdod dzīvokli Vecrīgas sirdī. 

Plašs un gaumīgs dzīvo",https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/exioc.html,Vecriga Kalku 2,2,54,2/5,Stalin project,"159,000  €"
Pārdod 2 istabu dzīvokli ar platību: 50 kv. m lietuviešu projekt,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/aomhi.html,Imanta Dubultu 21,2,50,5/5,Lit pr.,"59,000  €"
"Plašs 4 istabu dzīvoklis klusā Teikas vietā Laukalnes ielā

Pā",https://www.ss.com/msg/en/real-estate/flats/riga/teika/bcijmm.html,Teika Launkalnes 6,4,69,2/2,Pre-war house,"75,000 €"
Plašs un gaumīgs 5 istabu dzīvoklis Pļavniekos – Saharova ielā 1,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bkcxli.html,Plyavnieki Saharova 13,5,124,4/12,104-th,"176,100 €"
Pārdošanā nonākuši 2 atsevišķi dzīvokļa īpašumi ar domājamām daļ,https://www.ss.com/msg/en/real-estate/flats/riga/teika/bdnhxg.html,Teika Ropazhu 41,2,58,2/3,Pre-war house,"50,000  €"
"Gaišs 1-istabas dzīvoklis izcilā vietā Rīgas centrā. 

Par īpa",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedxdg.html,Centre J. Dalina 2,1,30,1/5,Chrusch.,"35,000  €"
"Pārdod gaišu 1-istabas dzīvokli Purvciemā, Pūces ielā 53

Sako",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/ecgom.html,Purvciems Puces 53,1,32,3/9,467-th,"46,000  €"
Teikas sirdī tiek piedāvāts pārdošanai plašs un mājīgi iekārtots,https://www.ss.com/msg/en/real-estate/flats/riga/teika/bdoohx.html,Teika Struktoru 13,2,74,4/4,Stalin project,"88,000  €"
"Ekskluzīvs skats uz Sv. Pētera baznīcu. 

Dzīvoklis atrodas re",https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/cidki.html,Vecriga Grecinieku 11,3,76,4/5,Recon.,"169,000  €"
"Продаётся уютная квартира у парка и моря. 

Квартира освобожде",https://www.ss.com/msg/en/real-estate/flats/riga/daugavgriva/amfjx.html,Daugavgriva Parades 16,2,53,4/5,103-th,"36,500  €"
"Pārdod skaistu, pilnībā mēbelētu 3 istabu dzīvokli Rīgas centrā,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedfpb.html,Centre Chaka 30a,3,70,6/7,Recon.,"235,000  €"
Продаётся просторная двухкомнатная квартира в кирпичном доме ста,https://www.ss.com/msg/en/real-estate/flats/riga/teika/aibed.html,Teika Brivibas g. 211,2,55,3/5,Stalin project,"70,000  €"
Владелец продает 2-х комнатную квартиру. Одна комната проходная;,https://www.ss.com/msg/en/real-estate/flats/riga/yugla/cxfeb.html,Yugla Malienas 64,2,47,5/5,Chrusch.,"37,000  €"
Jūsu uzmanībai stilīgs 3 istabu dzīvoklis pilsētas centrā pēc ka,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adbgb.html,Centre Lugazhu 6,3,62,4/5,Lit pr.,"97,000  €"
"Pretī parkam tiek piedāvāts silts, gaišs un mājīgs trīsistabu dz",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/cmome.html,Latgales priekshpilset Lomonosova 2,3,47,2/4,Pre-war house,"59,900  €"
"Pārdod 2 istabu dzīvokli Čiekurkalnā – 27, 1 m², 24 000 € Cena i",https://www.ss.com/msg/en/real-estate/flats/riga/chiekurkalns/bhklm.html,Chiekurkalns Saulkrastu 2,2,27,1/2,Stalin project,"24,000 €"
Pārdodas nekustamais īpašums ar milzīgu potenciālu pašā Rīgas si,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bednkg.html,Centre Blaumana 25,3,82,1/5,Pre-war house,"88,000  €"
"Īpašnieks pārdod divstāvu penthausu ar pilnu apdari, dzīvoklis a",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gfogx.html,Centre Rupniecibas 50,5,138,6/7,New,"410,000 €"
"Продаётся 3х комнатная квартира в Илгуциемсе, со свежим косметич",https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/afhlk.html,Ilguciems Lilijas 15a,3,54,5/5,Chrusch.,"56,000  €"
Unikāls 130 m² dzīvoklis Rīgas centrā ar autostāvvietu un iespēj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bebdxd.html,Centre Lachplesha 70B,5,130,3/6,Pre-war house,"230,000  €"
Pārdod mājīgu un labiekārtotu 2 istabu dzīvokli ļoti labā stāvok,https://www.ss.com/msg/en/real-estate/flats/riga/teika/bexjjn.html,Teika Bikernieku 16A,2,55,4/5,New,"145,000 €"
"Mājīgs divistabu dzīvoklis, 45 kv. m, 1/12 st. , specproj. 
Ist",https://www.ss.com/msg/en/real-estate/flats/riga/yugla/cxxkc.html,Yugla Vidzemes al. 1,2,45,1/12,Spec. pr.,"49,000  €"
"3 istabu dzīvoklis Vecmīlgrāvī, bez starpniekiem
Pārdod gaišu u",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/fgcki.html,Vecmilgravis Kavu 10,3,68,5/5,Lit pr.,"52,300  €"
"Pārdod saulainu 2 istabu dzīvokli pirmskara mājā

Lielisks cen",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bbohii.html,Agenskalns Bauskas 149,2,55,2/3,Pre-war house,"36,500  €"
"Pārdodu 1-istabas dzīvokli Rīgas centrā, ļoti labā vietā, strauj",https://www.ss.com/msg/en/real-estate/flats/riga/centre/acxpj.html,Centre Asara 12a,1,21,1/2,Pre-war house,"15,499  €"
"Pārdod 2 istabu dzīvokli, Kalnciema ielā 1, 3 korpuss mājā, kas",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/blgdol.html,Agenskalns Kalnciema 1 k3,2,40,2/5,Chrusch.,"68,000  €"
Pārdod pilnībā izremontētu 2 istabu dzīvokli. Dzīvoklis atrodas,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/ohnde.html,Ilguciems Dzirciema 74,2,42,3/5,Chrusch.,"68,000  €"
"Pārdod mājīgu un siltu dzīvokli Čehu projektā ar lodžiju. 

-D",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bdmkjd.html,Kengarags Aglonas 2,1,36,6/12,Czech pr.,"40,498  €"
Pārdošanā 2-istabu dzīvoklis. Zeme ietilpst īpašuma sastāvā. Ist,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cphmi.html,Imanta Dammes 33,2,49,4/5,Lit pr.,"54,800  €"
"Pārdod pilnvērtīgu 3.istabu dzīvokli ar balkonu. 

-Dzīvoklis",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/cflifb.html,Latgales priekshpilset Latgales 254 k3,3,61,4/5,Lit pr.,"54,798  €"
Pārdošanā 3 istabu dzīvoklis (divas atsevišķas guļamistabas) pro,https://www.ss.com/msg/en/real-estate/flats/riga/teika/agnmd.html,Teika Ropazhu 12,3,124,2/9,New,"225,000 €"
"Pārdodu 1-istabas dzīvokli pirmskara mūra mājā, 4/5 stāvs. Dzīvo",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/adcfh.html,Sarkandaugava Sarkandaugavas 19a,1,25,4/5,Pre-war house,"16,500  €"
Продаю 1 комнатную квартиру со всеми удобствами. Зарегистрирован,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gggnf.html,Centre Bruninieku 92B,1,32,2/3,Pre-war house,"36,000  €"
2-istabu dzīvoklis ar plašu terasi un skatu uz pievilcīgu pilsēt,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dblce.html,Centre Stabu 77,2,79,6/6,Recon.,"135,000  €"
Tikko pēc remonta – gaišs 2 izolētu istabu dzīvoklis renovētā un,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/cjndj.html,Ilguciems Palangas 6,2,49,1/5,Recon.,"64,500  €"
"Izolētas istabas, lodžija, pakešu logi, remonts, met. durvis, mē",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/ahgki.html,Vecmilgravis Meldru 24,3,61,4/5,Lit pr.,"55,000  €"
"Iek pārdots 3. istabas dzīvoklis. 
+dzīvoklis nav stūra
+nomai",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/eoxkx.html,Purvciems Dzelzavas 35,3,61,6/9,602-th,"62,000  €"
Удобная квартира в хорошей локации - до Даугавы только десятки м,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/fcxfb.html,Kengarags Latgales 268,2,45,5/5,Lit pr.,"39,900  €"
"Tiek pārdots 2 istabu dzīvoklis Ķengaragā
Gaišs un mājīgs dzīvo",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bcfin.html,Kengarags Latgales 285/5,2,45,3/5,Lit pr.,"70,000 €"
"Gaišs un plašs dzīvoklis bez remonta renovētā namā. 
Dzīvokļa p",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcxnje.html,Centre Lachplesha 35,3,89,3/6,Recon.,"147,378  €"
"Ļoti gaišs, pilnībā atjaunots 3 istabu dzīvoklis 6. stāvā, foršā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/affgx.html,Centre Avotu 8k - 1,3,64,6/6,Pre-war house,"158,000  €"
"Īpašnieks pārdod 2 istabu dzīvokli Ķengaragā, Lokomotīves ielā 4",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/ambxl.html,Kengarags Lokomotives 46,2,49,3/5,Lit pr.,"45,300 €"
Pārdošanā plašs dzīvoklis vienā no pieprasītākajām Rīgas centra,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcohxb.html,Centre Skolas 22a,3,125,2/6,Pre-war house,"227,000  €"
Эксклюзивная и просторная квартира в спецпроекте с большими окна,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/blfpdj.html,Agenskalns Tapeshu 25,2,58,5/5,Spec. pr.,"47,900  €"
Pārdošanā gaišs un mājīgs studijas tipa mansarda dzīvoklis pilnī,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ehxci.html,Centre Artilerijas 52,1,28,5/5,Recon.,"95,000  €"
Plašs 3 guļamistabu dzīvoklis ar panorāmas skatu uz Daugavu un P,https://www.ss.com/msg/en/real-estate/flats/riga/kliversala/djjpc.html,Kliversala Kugu 28,4,172,5/7,New,"980,000  €"
Pārdod elegantu klasiskā stila dzīvokli pilnībā renovētā jūgends,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gcjkg.html,Centre Alberta 1,5,161,2/5,Recon.,"770,000  €"
Pārdošanā gaišs un telpisks dzīvoklis 157.7 m2 platībā vienā no,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcbchl.html,Centre Maiznicas 12,5,158,4/5,Pre-war house,"350,000  €"
Pārdod divu līmeņu dzīvokli ar iespēju pabeigt apdari pēc saviem,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclxnb.html,Centre Eksporta 12,5,108,7/7,Recon.,"220,000  €"
"Īpašnieks pārdod plašu, gaišu 2-istabu mansarda dzīvokli pilnībā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclghf.html,Centre Stabu 99,2,67,6/6,Recon.,"138,000  €"
Īpašnieks pārdod telpas dzīvoklim/birojam pašā Rīgas centrā. Ir,https://www.ss.com/msg/en/real-estate/flats/riga/centre/eockg.html,Centre Tomsona 11,3,83,1/5,Stalin project,"133,270  €"
A+ energoefektivitātes klases 2 istabu dzīvoklis (nr. 3) pieejam,https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/bbcfjx.html,Shampeteris-Pleskodale Stendes 10,2,41,1/6,New,"96,000  €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/blfonm.html,Latgales priekshpilset Daugavpils 12,2,43,2/5,Recon.,"105,200  €"
Продаю земля в собственности. Железная дверь. Стеклопакеты. Балк,https://www.ss.com/msg/en/real-estate/flats/riga/dzeguzhkalns/ekbkx.html,Dzeguzhkalns Daugavgrivas 74a,1,30,6/12,Spec. pr.,"32,900  €"
"Tiek pārdots dzīvoklis Līksnas ielā 20, Rīgā. 
Kopējā platība:",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/bcjedf.html,Latgales priekshpilset Liksnas 20,3,35,1/2,Pre-war house,"17,000  €"
"Iegādei pieejams 3-istabu dzīvoklis 78 m² platībā, kas atrodas m",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bejnmd.html,Agenskalns Ranka d. 30,3,78,15/30,New,"252,739  €"
"Pārdod gaišu un mājīgu 3 istabu dzīvokli Pļavniekos
Pārdod saul",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/cphhh.html,Plyavnieki Grestes 6,3,62,5/9,602-th,"95,000  €"
Piedāvājam iegādāties modernu 3 istabu dzīvokli ar pilnu apdari,https://www.ss.com/msg/en/real-estate/flats/riga/centre/agleo.html,Centre Blaumana 20,2,68,2/7,New,"267,900  €"
"Iegādei pieejams 2-istabu dzīvoklis 68.1 m² platībā, kas atrodas",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/biginp.html,Agenskalns Ranka d. 30,2,68,14/30,New,"242,501  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bocli.html,Centre Katrinas 5,4,95,3/4,Recon.,"273,105  €"
"Pārdod mūsdienīgu, mājīgu un pilnībā aprīkotu 3 istabu dzīvokli",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/dnlll.html,Sarkandaugava Patversmes 30,3,65,4/4,Stalin project,"148,000 €"
"Iegādei pieejams 1-istabas dzīvoklis 40.5 m² platībā, kas atroda",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bjoplo.html,Agenskalns Ranka d. 30,1,41,14/30,New,"144,383  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcojbk.html,Centre Katrinas 5,3,66,4/4,Recon.,"185,736  €"
"Dzīvoklis atrodas Juglas rajonā, klusā daļā. Dzīvokļa logi vērst",https://www.ss.com/msg/en/real-estate/flats/riga/yugla/aopdl.html,Yugla Ciemupes 1,3,99,1/10,New,"210,000  €"
"Продается квартира, которая используется в настоящий момент, как",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ccmbf.html,Centre Brivibas 114,3,48,1/6,Pre-war house,"52,000  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/feigo.html,Centre Katrinas 5,2,37,2/4,Recon.,"99,736  €"
"Divu istabu dzīvoklis jaunā projektā Rīgas centrā. 
Unikāla ies",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aenkm.html,Centre Blaumana 20,2,57,4/7,New,"243,100  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gpiik.html,Centre Katrinas 5,3,53,2/4,Recon.,"150,858  €"
For sale: a renovated 3-room apartment in a green and peaceful a,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/adflg.html,Ilguciems Riekstu 15,3,67,5/5,Lit pr.,"85,000  €"
Pārdod plašu 6 istabu dzīvokli Mežaparkā ar iespēju izveidot div,https://www.ss.com/msg/en/real-estate/flats/riga/mezhapark/beijhm.html,Mezhapark Sudrabu Edzhus 22,6,134,2/2,Recon.,"259,000 €"
Iegādei pieejams elegants 2 istabu dzīvoklis Rīgas prestižajā Kl,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ghffc.html,Centre Pulkv. Briezha 10,2,46,5/5,Recon.,"174,267  €"
"Piedāvājam neatkārtojamu penthouse dzīvokli ar 3 guļamistabām, m",https://www.ss.com/msg/en/real-estate/flats/riga/tornjakalns/dgoeo.html,Tornjakalns Tornakalna 2,4,178,5/5,New,"399,000  €"
Remontējams vienistabas dzīvoklis mazģimeņu projektā Pļavniekos.,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bebcld.html,Plyavnieki Dzenu 6,1,39,4/5,Sm.fam.,"32,000  €"
Dzīvoklis Madonas ielā 27 piedāvā ērtu un praktisku dzīves vidi,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/dixlo.html,Purvciems Madonas 27,2,60,2/9,119-th,"64,500  €"
"Pārdošanā ekskluzīvs, dizaineru veidots un pilnībā aprīkots dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjdbj.html,Centre Brivibas 92,2,61,3/5,Recon.,"149,900  €"
3 stāvu dzīvoklis rindu mājā atrodas privātajā sektorā. Slēgts p,https://www.ss.com/msg/en/real-estate/flats/riga/teika/feole.html,Teika Vaveres 4,4,168,3/3,New,"240,000  €"
"Pārdod saulainu, siltu divistabu dzīvokli Imantas zaļākajā vietā",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cbmgk.html,Imanta Kleistu 11,2,59,4/16,New,"125,000  €"
"Tiek pārdots 3 istabu dzīvoklis projektā ""Vāgnera Rezidence"" Vec",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcleld.html,Centre Teatra 7,3,86,2/4,New,"300,000  €"
"Dzīvoklis ar terasi renovētā ēkā. 
Plānojums:
virtuve-viesista",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajbcx.html,Centre Vagnera 20,4,101,2/3,Recon.,"311,860  €"
"Piedāvājumā dzīvokļi unikālā koncepta projektā Brooklyn Gates, D",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/bfeonm.html,Latgales priekshpilset Daugavpils 57,3,49,3/5,Recon.,"76,850  €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",https://www.ss.com/msg/en/real-estate/flats/riga/centre/acike.html,Centre Vashingtona pl. 2,1,22,4/6,Recon.,"92,820  €"
Pārdod pilnībā mēbelētu un ar sadzīves tehniku aprīkotu dzīvokli,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/cfefl.html,Vecriga Kungu 25,2,95,5/5,New,"245,000  €"
Pārdodam savu gaišo un mājīgo 1 istabas dzīvokli Slāvu ielā. Dzī,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/gecmk.html,Plyavnieki Slavu 23,1,33,8/9,467-th,"40,600  €"
"Piedāvājam iegādāties plašu un gaišu divas istabu dzīvokli. 
Dz",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/fpogb.html,Bolderaya Gobas 20,2,55,4/9,Spec. pr.,"45,800  €"
Unikāls 7- istabu dzīvoklis pašā Daugavas krastā ar skatu uz Āge,https://www.ss.com/msg/en/real-estate/flats/riga/kliversala/kmexd.html,Kliversala Trijadibas 1A,Other,250,3/7,New,"1,190,000  €"
"Pārdod mājīgu trīsistabu dzīvokli 75 m² platībā, 119. sērijas mā",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/feffe.html,Purvciems Virshu 13,3,75,2/9,119-th,"82,500  €"
Mājīgs A+ energoefektivitātes klases 2 istabu dzīvoklis (nr. 28),https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/bejxnx.html,Shampeteris-Pleskodale Stendes 10,2,40,4/6,New,"118,000  €"
"Dzīvoklim ir ērts un parocīgs plānojums - viesistaba, guļamistab",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/bexxmg.html,Purvciems Ilukstes 99,2,58,2/16,Spec. pr.,"52,500  €"
Pārdošanā plašs un funkcionāls 5 istabu dzīvoklis klusā pilsētas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cxcdd.html,Centre Hospitalu 36A,5,146,6/6,Pre-war house,"243,000  €"
Pārdod gaišu 3 istabu dzīvokli ar augstiem griestiem un skatu uz,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/eokjo.html,Ilguciems Lilijas 28,3,70,2/6,New,"158,000  €"
"Piedāvājam iegādāties īpašumu, kurā apvienota pilsētas ērtības a",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/enxmf.html,Plyavnieki Dravnieku 1-k1,3,68,9/10,New,"171,500  €"
Ideālā zaļajā zonā Mežaparkā blakus Kīšezeram liels 3 istabu dzī,https://www.ss.com/msg/en/real-estate/flats/riga/mezhapark/bfnkm.html,Mezhapark Ezermalas 2a,3,80,2/12,Czech pr.,"83,000  €"
Pilnībā mēbelēts 2 istabu studio dzīvoklis ar privātu terasi pre,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcoepi.html,Centre Chaka 30A,2,42,1/7,Recon.,"140,000  €"
"Dzīvoklis ir normalā stāvoklī, nav stūras, zeme īpašumā, silts,",https://www.ss.com/msg/en/real-estate/flats/riga/yugla/ahjxh.html,Yugla Silciema 5,2,44,1/5,Chrusch.,"48,000  €"
Pārdod trīslīmeņu dzīvokli stratēģiski izdevīgā lokācijā E. Birz,https://www.ss.com/msg/en/real-estate/flats/riga/centre/clxkk.html,Centre Birznieka-Upisha 6,3,71,2/3,Pre-war house,"104,900  €"
"Tiek pārdots brīnišķīgs, gaišs dzīvoklis ar tikko veiktu kapitāl",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/eblnb.html,Kengarags Salaspils 6 k. 4,2,39,4/5,Lit pr.,"58,500  €"
Pārdodu 2 istabu dzīvokli jaunajā projektā pēc kvalitatīva remon,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cigee.html,Centre Katrinas d. 14,2,52,2/3,New,"136,250  €"
"Saulains 3 istabu dzīvoklis pirmskara ēkā Rīgas Centrā. 

Dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gcefc.html,Centre Valdemara 123,3,67,5/6,Pre-war house,"80,000  €"
Kluss un saulains 2 istabu dzīvoklis “City Zen” ar autostāvvietu,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/afpij.html,Imanta Viksnes 21,2,63,7/1,Spec. pr.,"138,000 €"
"Silts, gaišs dzīvoklis ķieģeļu mājā. Plaša istaba – 21, 6 m², vi",https://www.ss.com/msg/en/real-estate/flats/riga/mezhapark/bbdxb.html,Mezhapark Viestura pr. 97,1,35,6/9,Spec. pr.,"42,500  €"
"Pārdod 2-istabu dzīvokli Torņakalnā - Pilns Remonts, klusa vieta",https://www.ss.com/msg/en/real-estate/flats/riga/tornjakalns/cncgj.html,Tornjakalns Mukusalas 35,2,28,1/2,Pre-war house,"54,000  €"
"Pārdod divistabu dzīvokli Rīgā – Melīdas ielā 3 k-1, Vecmīlgrāvī",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/dgmbm.html,Vecmilgravis Melidas 3/1,2,36,2/5,Lit pr.,"43,000  €"
"Pārdodam kvalitatīvi izremontētu, ļoti siltu dzīvokli, kurš atro",https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/ablje.html,Shampeteris-Pleskodale Volguntes 17a,2,40,1/2,Recon.,"78,700  €"
