description,url,District,R.,m²,Floor,Series,Price
"Dzīvoklis, kuru var pilnībā iekārtot pēc savas gaumes un realizē",https://www.ss.com/msg/en/real-estate/flats/riga/zasulauks/chpoh.html,Zasulauks Tapeshu 20,2,48,1/5,Spec. pr.,"42,000  €"
"Dzīvoklis, kuru var pilnībā iekārtot pēc savas gaumes un realizē",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/dgoil.html,Agenskalns Tapeshu 20,2,48,1/5,Spec. pr.,"42,000  €"
Pārdod 2 istabu dzīvokli Pulkveža Brieža ielā 15 Klusais Centrs.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bciioj.html,Centre Pulkv. Briezha 15,2,37,3/7,Recon.,"108,000  €"
"Remontējams dzīvoklis klusā un zaļā pilsētas apkaimē, vietā, kas",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fxxji.html,Centre Katrinas d. 20 k-2,2,41,4/5,Chrusch.,"47,000  €"
Dzīvo 2 istabu dzīvoklī vienlaikus zaļa miera apskautā krastā un,https://www.ss.com/msg/en/real-estate/flats/riga/yugla/akhfc.html,Yugla Juglas 23,2,49,2/6,New,"118,500 €"
"Telpas ir nodalītas, un zeme zem mājas ir privatizēta. Ir nomain",https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/flmdb.html,Ilguciems Slokas 95,2,46,1/5,Lit pr.,"43,000  €"
"Telpas ir nodalītas, un zeme zem mājas ir privatizēta. Ir nomain",https://www.ss.com/msg/en/real-estate/flats/riga/dzeguzhkalns/ajmpe.html,Dzeguzhkalns M. Stacijas 22,2,46,1/5,Lit pr.,"43,000  €"
"Saulains, plašs 2-istabu dzīvoklis ar pārdomātu plānojumu un bal",https://www.ss.com/msg/en/real-estate/flats/riga/kliversala/hifjk.html,Kliversala Trijadibas 1a,2,63,3/7,New,"2,840,047  €"
Svaigi izremontēts 2 istabu dzīvoklis Purvciemā – Andromedas gat,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/bdpljh.html,Purvciems Andromedas g. 10,2,50,5/5,Lit pr.,"65,900  €"
Pārdošanā gaišs un silts 1-istabas dzīvoklis vienā no pieprasītā,https://www.ss.com/msg/en/real-estate/flats/riga/dzeguzhkalns/hkmnb.html,Dzeguzhkalns Dzirciema 31,1,35,5/9,Spec. pr.,"46,500  €"
"Pārdod lielisku 3-istabu dzīvokli ar plašu 26 m² terasi, garāžu",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/cbnko.html,Purvciems Saktas 24,3,122,3/3,New,"226,540  €"
